Title,groupurl,category,pay_labels
END!,劇団名劇創ト社,https://kan-geki.com/streaming/play/58,カテゴリー,有料
FAKE！,劇団名劇創ト社,https://kan-geki.com/streaming/play/59,カテゴリー,有料
YELL!!,劇団名劇創ト社,https://kan-geki.com/streaming/play/60,"カテゴリードラマ,",有料
YELL!～2006ver,劇団名劇創ト社,https://kan-geki.com/streaming/play/61,"カテゴリードラマ,",有料
南総恋歌,劇団名劇創ト社,https://kan-geki.com/streaming/play/62,"カテゴリードラマ,時代劇（歴史劇）,",有料
DOGMANBLUES,劇団名劇創ト社,https://kan-geki.com/streaming/play/63,"カテゴリードラマ,時代劇（歴史劇）,",有料
Triple! Tripple!!,劇団名劇創ト社,https://kan-geki.com/streaming/play/64,"カテゴリーSF,ドラマ,",有料
ラジオスターの悲劇,劇団名劇創ト社,https://kan-geki.com/streaming/play/65,カテゴリー,有料
ラジオスターの悲劇2ndsession,劇団名劇創ト社,https://kan-geki.com/streaming/play/66,"カテゴリーコメディ,時代劇（歴史劇）,恋愛,",有料
ラジオスターの悲劇3rdsession,劇団名劇創ト社,https://kan-geki.com/streaming/play/67,"カテゴリードラマ,コメディ,時代劇（歴史劇）,",有料
劇創ト社短篇集,劇団名劇創ト社,https://kan-geki.com/streaming/play/68,"カテゴリードラマ,",有料
ラーメン,劇団名芝居処味一番,https://kan-geki.com/streaming/play/69,"カテゴリードラマ,ミステリー・サスペンス,",有料
弁当～駅弁・空弁～,劇団名芝居処味一番,https://kan-geki.com/streaming/play/70,カテゴリー,有料
弁当～幕の内～,劇団名芝居処味一番,https://kan-geki.com/streaming/play/71,"カテゴリードラマ,コメディ,",有料
からあげ,劇団名芝居処味一番,https://kan-geki.com/streaming/play/72,"カテゴリードラマ,恋愛,",有料
ほたるが丘夏祭り,劇団名kusukusu’srabo,https://kan-geki.com/streaming/play/73,"カテゴリーキッズ・ファミリー,ダンス・舞踏・パフォーマンス,",有料
この荒野の物語,劇団名シアターシンクタンク万化,https://kan-geki.com/streaming/play/74,"カテゴリーファンタジー,",有料
