Title,Author,Playtime,Male Count,Female Count
ザ・パイロット,宮本研,2時間～3時間,10,9
糸地獄,岸田理生,2時間～3時間,5,13
身毒丸,岸田理生,90～120分,4,2
毛皮のマリー,寺山修司,40～60分,15,0
身毒丸,寺山修司,90～120分,10,13
ぼくらが非情の大河をくだる時―新宿薔薇戦争,清水邦夫,60～90分,99,0
がんばろうー柏木家の人々―,岡部耕大,90～120分,10,4
鎖骨に天使が眠っている,ピンク地底人3号,90～120分,3,5
DOLL,如月小春,90～120分,5,2
常陸坊海尊,秋元松代,2時間～3時間,99,6
幼児たちの後の祭り,秋浜悟史,90～120分,4,4
月の岬,松田正隆,90～120分,6,7
袴垂れはどこだ,福田善之,2時間～3時間,13,4
続・私の下町　姉の恋愛,福田善之,2時間～3時間,13,10
スラブ・ディフェンス,小松幹生,60～90分,2,0
高き彼物,マキノノゾミ,90～120分,5,2
狐狸狐狸ばなし,北條秀司,90～120分,11,6
ジャガーの眼,唐十郎,2時間～3時間,6,5
春、忍び難きを,斎藤憐,90～120分,8,5
水の駅,太田省吾,90～120分,5,5
法王庁の避妊法,飯島早苗・鈴木裕美,2時間～3時間,4,4
鈍獣,宮藤官九郎,2時間～3時間,3,3
組曲虐殺,井上ひさし,3時間以上,3,3
欠損の数式,平野正喜,20～40分,2,1
衝突と分裂、あるいは融合,黒澤世莉,90～120分,6,7
